sweep,wandb_group,wandb_run_id,wandb_name,state,batch_size,eta,base_lr,expected_array_task_id,schedule_end_value,loss_key,final_eval_loss,final_step
cosine,943479,csgmh2b1,dazzling-pond-1045,finished,4,1.0,0.5,8,0.1,eval/ema_0.04,2.611907720565796,732422
cosine,943479,2sbaof8v,dauntless-wave-1046,finished,4,0.5,0.25,9,0.1,eval/ema_0.04,2.635617971420288,732422
cosine,943479,xahw69p6,hopeful-wildflower-1047,finished,16,16.0,4.0,10,0.1,eval/ema_0.04,2.5816917419433594,183106
cosine,943479,8ycrep45,brisk-bee-1048,finished,16,2.0,0.5,13,0.1,eval/ema_0.04,2.599483013153076,183106
cosine,943479,j39evpba,unique-haze-1050,finished,16,1.0,0.25,14,0.1,eval/ema_0.04,2.631350040435791,183106
cosine,943479,sv8mx0pp,hopeful-durian-1049,finished,16,4.0,1.0,12,0.1,eval/ema_0.04,2.58426284790039,183106
cosine,943479,tkge750d,legendary-night-1050,finished,16,8.0,2.0,11,0.1,eval/ema_0.04,2.5807666778564453,183106
cosine,943479,81efz417,gentle-serenity-1052,finished,64,32.0,4.0,15,0.1,eval/ema_0.04,2.5992465019226074,45777
cosine,943479,9ml5svui,solar-haze-1059,finished,64,4.0,0.5,18,0.1,eval/ema_0.04,2.5964677333831787,45777
cosine,943479,qo82arcx,clean-haze-1057,finished,64,16.0,2.0,16,0.1,eval/ema_0.04,2.58447265625,45777
cosine,943479,vaaq6egm,drawn-sunset-1057,finished,64,8.0,1.0,17,0.1,eval/ema_0.04,2.5945751667022705,45777
cosine,943479,b1hk93o4,sunny-valley-1060,finished,256,16.0,2.0,21,0.1,eval/ema_0.04,2.6109323501586914,11445
cosine,943479,288n3uyu,devout-glade-1062,finished,64,2.0,0.25,19,0.1,eval/ema_0.04,2.624347686767578,45777
cosine,943479,v4ti48jh,sandy-darkness-1061,finished,256,32.0,4.0,20,0.1,eval/ema_0.04,2.6456027030944824,11445
cosine,943479,ce7nq1lq,vocal-armadillo-1070,finished,256,8.0,1.0,22,0.1,eval/ema_0.04,2.608966112136841,11445
cosine,943479,7rf9ythn,rosy-dawn-1071,finished,256,4.0,0.5,23,0.1,eval/ema_0.04,2.629561424255371,11445
cosine,943479,0m87es5y,youthful-firebrand-1072,finished,256,2.0,0.25,24,0.1,eval/ema_0.04,2.669487237930298,11445
cosine,943479,tirri23l,happy-smoke-1073,finished,1024,32.0,4.0,25,0.1,eval/ema_0.04,2.906914710998535,2862
cosine,943479,y4x9hkol,efficient-plant-1075,finished,1024,16.0,2.0,26,0.1,eval/ema_0.04,2.8040788173675537,2862
cosine,943479,mt6twb8g,distinctive-jazz-1078,finished,1024,8.0,1.0,27,0.1,eval/ema_0.04,2.7205734252929688,2862
cosine,943479,neqbv8e7,skilled-breeze-1079,finished,1024,4.0,0.5,28,0.1,eval/ema_0.04,2.720545530319214,2862
cosine,943479,v1s8ex72,cerulean-sea-1081,finished,1024,2.0,0.25,29,0.1,eval/ema_0.04,2.801502227783203,2862
cosine,943479,0kcldxvp,wobbly-plant-1082,finished,4096,32.0,4.0,30,0.1,eval/ema_0.04,3.530695676803589,716
cosine,943479,1adohwdl,silver-waterfall-1083,finished,4096,16.0,2.0,31,0.1,eval/ema_0.04,3.27101731300354,716
cosine,943479,9bcvsub2,polar-frost-1084,finished,4096,8.0,1.0,32,0.1,eval/ema_0.04,3.065398931503296,716
cosine,943479,f3fmxw01,vague-cosmos-1089,finished,4096,4.0,0.5,33,0.1,eval/ema_0.04,3.038247585296631,716
cosine,943479,7goggb3q,dainty-deluge-1090,finished,4096,2.0,0.25,34,0.1,eval/ema_0.04,3.249830961227417,716
